Date,Open,High,Low,Close,Adj Close,Volume
2019-08-21,10764.57227,10798.72949,9962.72168,10138.04981,10138.04981,19473084768
2019-08-22,10142.52148,10232.99609,9831.462891,10131.05566,10131.05566,17097508856
2019-08-23,10136.30957,10442.44336,10078.19238,10407.96484,10407.96484,15627023886
2019-08-24,10407.64453,10418.02051,9982.296875,10159.96094,10159.96094,15451030650
2019-08-25,10160.73731,10304.62207,10008.78906,10138.51758,10138.51758,14153856610
2019-08-26,10126.29981,10512.32813,10126.29981,10370.82031,10370.82031,18438654080
2019-08-27,10372.82617,10381.32813,10087.30078,10185.5,10185.5,14762609503
2019-08-28,10203.42676,10279.36621,9716.65625,9754.422852,9754.422852,17603790323
2019-08-29,9756.786133,9756.786133,9421.629883,9510.200195,9510.200195,17045878501
2019-08-30,9514.844727,9656.124023,9428.302734,9598.173828,9598.173828,13595263986
2019-08-31,9597.539063,9673.220703,9531.799805,9630.664063,9630.664063,11454806419
2019-09-01,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859
2019-09-02,9757.473633,10396.5918,9730.650391,10346.76074,10346.76074,17248102294
2019-09-03,10345.72559,10736.10449,10308.54785,10623.54004,10623.54004,19384917989
2019-09-04,10621.18066,10762.64453,10434.70996,10594.49316,10594.49316,16742664769
2019-09-05,10588.18359,10627.26953,10516.41797,10575.5332,10575.5332,14551239508
2019-09-06,10578.19824,10898.76172,10292.29981,10353.30273,10353.30273,19536574783
2019-09-07,10353.93164,10558.67383,10348.91895,10517.25488,10517.25488,15307366476
2019-09-08,10518.11426,10595.6377,10409.09082,10441.27637,10441.27637,13670567493
2019-09-09,10443.22852,10450.31152,10144.92969,10334.97461,10334.97461,17595943368
2019-09-10,10336.4082,10394.35352,10020.57324,10115.97559,10115.97559,14906809639
2019-09-11,10123.03516,10215.94824,9980.776367,10178.37207,10178.37207,15428063426
2019-09-12,10176.81934,10442.25391,10099.24219,10410.12695,10410.12695,15323563925
2019-09-13,10415.36231,10441.48926,10226.59668,10360.54688,10360.54688,14109864675
2019-09-14,10345.40332,10422.13379,10291.69434,10358.04883,10358.04883,13468713124
2019-09-15,10356.46582,10387.03516,10313.09277,10347.71289,10347.71289,12043433567
2019-09-16,10347.22266,10386.86719,10189.74414,10276.79395,10276.79395,15160167779
2019-09-17,10281.51367,10296.77148,10199.73926,10241.27246,10241.27246,15304603363
2019-09-18,10247.7959,10275.92871,10191.46973,10198.24805,10198.24805,16169268880
2019-09-19,10200.49609,10295.66895,9851.692383,10266.41504,10266.41504,19937691247
2019-09-20,10266.31836,10285.87207,10132.18652,10181.6416,10181.6416,14734189639
2019-09-21,10183.64844,10188.09766,10000.70801,10019.7168,10019.7168,13425266806
2019-09-22,10024.11523,10074.44434,9922.533203,10070.39258,10070.39258,13199651698
2019-09-23,10067.96289,10074.23828,9727.143555,9729.324219,9729.324219,15144925408
2019-09-24,9729.321289,9804.317383,8370.801758,8620.566406,8620.566406,25002886689
2019-09-25,8603.428711,8744.828125,8325.396484,8486.993164,8486.993164,21744728353
2019-09-26,8487.669922,8515.685547,7895.629395,8118.967773,8118.967773,19258205289
2019-09-27,8113.101074,8271.520508,7965.922852,8251.845703,8251.845703,16408941156
2019-09-28,8251.273438,8285.617188,8125.431641,8245.915039,8245.915039,14141152736
2019-09-29,8246.037109,8261.707031,7990.49707,8104.185547,8104.185547,13034629109
2019-09-30,8104.226563,8314.231445,7830.758789,8293.868164,8293.868164,17115474183
2019-10-01,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413
2019-10-02,8344.212891,8393.041992,8227.695313,8393.041992,8393.041992,13125712443
2019-10-03,8390.774414,8414.227539,8146.437012,8259.992188,8259.992188,13668823409
2019-10-04,8259.494141,8260.055664,8151.236816,8205.939453,8205.939453,13139456229
2019-10-05,8210.149414,8215.526367,8071.120605,8151.500488,8151.500488,12200497197
2019-10-06,8149.876953,8161.410156,7958.850586,7988.155762,7988.155762,13160830305
2019-10-07,7989.120605,8308.450195,7905.766113,8245.623047,8245.623047,18009742607
2019-10-08,8246.849609,8332.714844,8185.763184,8228.783203,8228.783203,15592264032
2019-10-09,8229.84082,8627.706055,8169.298828,8595.740234,8595.740234,19384942333
2019-10-10,8585.280273,8625.272461,8471.933594,8586.473633,8586.473633,17618660671
2019-10-11,8585.262695,8721.780273,8316.181641,8321.756836,8321.756836,19604381101
2019-10-12,8315.665039,8415.242188,8313.34082,8336.555664,8336.555664,14532641605
2019-10-13,8336.902344,8470.988281,8276.612305,8321.005859,8321.005859,13808286059
2019-10-14,8320.832031,8390.208984,8284.130859,8374.686523,8374.686523,15151387859
2019-10-15,8373.458008,8410.714844,8182.706543,8205.369141,8205.369141,15220412632
